Repos,TypeScript,C++,Svelte,C#,JavaScript,Python,C,Dart,Vue,TeX,HTML,SCSS,Shell,CSS,CMake,Q#,Swift,Makefile,Batchfile,PowerShell,Dogescript,Kotlin,Rust,Objective-C,Total,
undefined,25851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25851,
undefined,8235,28166,0,0,722,11206,0,0,0,24557,1197,0,885,1037,0,0,0,0,0,0,0,0,0,0,76005,
undefined,95873,0,0,0,706,0,0,0,0,0,0,0,0,701,0,0,0,0,0,0,0,0,0,0,97280,
undefined,322,0,1264,0,889,0,0,0,0,0,351,0,0,114,0,0,0,0,0,0,0,0,285,0,3225,
undefined,0,0,0,24226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24226,
undefined,0,0,0,0,0,3899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3899,
undefined,270,0,9359,53631,1661,0,0,0,0,0,580,0,323,276,0,0,0,0,0,0,0,0,0,0,66100,
undefined,1201,0,376,0,3242,0,0,0,0,0,744,442,0,0,0,0,0,0,0,0,0,0,0,0,6005,
undefined,1227,0,0,0,5930,0,4918,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,12455,
undefined,0,48909,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49322,
undefined,1982,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,
undefined,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,376,
undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0,0,0,0,0,0,0,0,924,
undefined,22021,0,0,0,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23683,
undefined,1389,0,5267,0,3828,0,0,0,0,0,562,0,0,834,0,0,0,0,0,0,0,0,0,0,11880,
